"year","month","anch_eggs_10m2","sard_eggs_10m2"
1984,1,74.8903151785714,0.354285714285714
1984,2,421.6295,0.3885
1984,3,1552.93853294118,8.29493317647059
1984,4,466.207996169811,2.74693698113208
1984,5,21.6010026923077,3.52
1984,6,2.15189448387097,6.394685
1984,7,11.49793525,1.53285714285714
1984,8,NA,NA
1984,9,NA,NA
1984,10,1.64596153846154,1.2
1984,11,NA,NA
1984,12,NA,NA
1985,1,NA,NA
1985,2,1276.03325552564,10.9441312307692
1985,3,330.9754015,0.369230393939394
1985,4,NA,NA
1985,5,442.7426467,15.40442432
1985,6,NA,NA
1985,7,NA,NA
1985,8,19.4486107037037,123.069313611111
1985,9,NA,NA
1985,10,NA,NA
1985,11,13.9522787924528,0.576486339622642
1985,12,NA,NA
1986,1,145.22,0
1986,2,1119.44538414,10.3604
1986,3,NA,NA
1986,4,NA,NA
1986,5,216.388499074074,3.63193453703704
1986,6,NA,NA
1986,7,NA,NA
1986,8,NA,NA
1986,9,2.90663820833333,0.674428541666667
1986,10,0,0
1986,11,16.5496231785714,0.0842857142857143
1986,12,NA,NA
1987,1,NA,NA
1987,2,NA,NA
1987,3,716.249650614754,6.07862180327869
1987,4,NA,NA
1987,5,373.884345707692,20.2670126461538
1987,6,NA,NA
1987,7,NA,NA
1987,8,NA,NA
1987,9,19.1186464444444,27.5126637142857
1987,10,NA,NA
1987,11,4.73934426229508,0
1987,12,NA,NA
1988,1,902.625115122807,4.48894736842105
1988,2,10.3416666666667,0
1988,3,NA,NA
1988,4,1471.2636537,0
1988,5,13.615218097561,89.8798351707317
1988,6,NA,NA
1988,7,NA,NA
1988,8,22.6075735384615,214.270769923077
1988,9,NA,NA
1988,10,2.63630769230769,0.283076923076923
1988,11,NA,NA
1988,12,NA,NA
1989,1,39.5269899183673,79.5211531020408
1989,2,0,1.51648346153846
1989,3,NA,NA
1989,4,18.5248342698413,9.92696496825397
1989,5,NA,NA
1989,6,NA,NA
1989,7,2.25087850877193,104.809869192982
1989,8,0,0
1989,9,NA,NA
1989,10,NA,NA
1989,11,1.51530303030303,0
1989,12,NA,NA
1990,1,NA,NA
1990,2,NA,NA
1990,3,291.550689655172,0.700689655172414
1990,4,127.628186530612,104.637511061224
1990,5,NA,NA
